,nl_query,db
988,"Retrieve all dependencies for library ""Library X"".
",graph
989,"What other sports are played by athletes competing in ""Sport X""?
",graph
990,"Identify companies with shared board members.
",graph
991,"List all nodes in the graph with a degree higher than ten.
",graph
992,"Discover all potential routes for data packets in the network.
",graph
993,"What are the key campaigns influencing public opinion in this year?
",graph
994,"Find all mentors connected to Student X across the program.
",graph
995,"List all online communities Person Y is a member of.
",graph
996,"Identify all government officials with ties to Organization X.
",graph
997,"Retrieve all user's travel histories that include ""City Y"".
",graph
998,"Find all seminars attended by employees from Department X.
",graph
999,"Who are the repeat customers for Product Y?
",graph
1000,"Discover all events linked to Participant Z.
",graph
1001,"Retrieve all safety incidents reported in Plant A.
",graph
1002,"List all satellite connections originating from Ground Station X.
",graph
1003,"Identify all software that interoperate with System Y.
",graph
1004,"Find the main hubs in this transportation network.
",graph
1005,"List all team members in projects led by Leader X.
",graph
1006,"Retrieve all the routes in this railway network.
",graph
1007,"Which natural resources are shared between Region A and Region B?
",graph
1008,"Discover the shortest path to reach Customer X.
",graph
1009,"Who are the key suppliers for components in Product Y?
",graph
1010,"List all scientists who contributed to Research Project X.
",graph
1011,"What are the overlap points in distribution channels A and B?
",graph
1012,"Retrieve all events Person Y RSVP'd 'Yes' to but didn't attend.
",graph
1013,"Identify all shareholders with stakes in both Company A and B.
",graph
1014,"Discover all past and present associations with Club X.
",graph
1015,"Find all houses connected to the main water supply system.
",graph
1016,"What nodes have direct connections to both Node A and B?
",graph
1017,"Retrieve all the countries trading with Country X.
",graph
1018,"List all tasks Employee Y manages across different projects.
",graph
1019,"Identify all user interactions with the support team.
",graph
1020,"Which countries are directly influenced by policies from Organization X?
",graph
1021,"Find common pathways used by hackers in system breaches.
",graph
1022,"Retrieve all customer complaints related to Feature Y.
",graph
1023,"Which team members have collaborated at least three times on projects?
",graph
1024,"Discover universities with the highest number of published authors in Field X.
",graph
1025,"List all neighboring nodes to Node Z within one degree.
",graph
1026,"Identify critical junctions in this network infrastructure.
",graph
1027,"Retrieve all connections between Member A and B in this club.
",graph
1028,"Find all places Person X has lived in the past decade.
",graph
1029,"What are the overlap periods for employees with dual department roles?
",graph
1030,"Who are the primary influencers on Topic X in social media platforms?
",graph
1031,"Retrieve the history of ownership for Property Y.
",graph
1032,"List all the dependencies required for System X updates.
",graph
1033,"Identify all pathways disrupted by the removal of Node Z.
",graph
1034,"Which politicians have overlapping interests in Policy Y?
",graph
1035,"Find all data nodes affected by a recent security breach.
",graph
1036,"Who has shared publications with Author Y?
",graph
1037,"List all available backups for Data Node X.
",graph
1038,"What other projects interact with Project A based on shared resources?
",graph
1039,"Find the hierarchy of positions within Department X.
",graph
1040,"Identify all cross-functional team collaborations in the company.
",graph
1041,"Retrieve interactions between Users A, B, and C during Event X.
",graph
1042,"Which researchers have patents co-authored with Inventor Y?
",graph
1043,"Discover common themes across different forums discussing Technology X.
",graph
1044,"List all authors who simultaneously belong to multiple study groups.
",graph
1045,"Find all the junctions in this road network susceptible to bottlenecks.
",graph
1046,"Retrieve all the related catalogs for ""Catalog Series Y"".
",graph
1047,"Identify hidden influencers within subcategories of this social network.
",graph
1048,"What are the most traversed pathways during peak hour in the city?
",graph
1049,"List all services provided by Supplier X to Client Y.
",graph
1050,"What common points do rival companies share within their supply chains?
",graph
1051,"Find all real estate properties linked to Agency Z.
",graph
1052,"Which employees are involved in at least two training programs?
",graph
1053,"Retrieve all legal entities Person X has a controlling interest in.
",graph
1054,"Who are the direct friends of user X?
",graph
1055,"Find all employees working under manager Y.
",graph
1056,"List all cities connected by flights from city Z.
",graph
1057,"Retrieve all articles related to topic A.
",graph
1058,"Identify shared interests between users U and V.
",graph
1059,"Show all immediate followers of influencer B.
",graph
1060,"Find the shortest path between nodes P and Q.
",graph
1061,"Get all books authored by writer C.
",graph
1062,"Who has the most connections in the network?
",graph
1063,"Discover all co-authors of researcher R.
",graph
1064,"List all movies starred by actor D.
",graph
1065,"Identify all family members of person E.
",graph
1066,"Retrieve all courses that student F is enrolled in.
",graph
1067,"Find mutual connections between X and Y.
",graph
1068,"Show all software dependencies for package G.
",graph
1069,"Get all friends of friends for user H.
",graph
1070,"Identify the longest supply chain in the network.
",graph
1071,"List all companies partnered with business I.
",graph
1072,"Who has attended both conference J and K?
",graph
1073,"Discover all teams player L has played for.
",graph
1074,"Find all direct reports to executive M.
",graph
1075,"Retrieve events hosted in venue N.
",graph
1076,"Identify all departments within organization O.
",graph
1077,"Show all collaborations between musician P and Q.
",graph
1078,"List all suppliers for product R.
",graph
1079,"Find the nearest hospital to location S.
",graph
1080,"Retrieve all podcasts featuring speaker T.
",graph
1081,"Who are the top contributors in community U?
",graph
1082,"Identify all routes that include station V.
",graph
1083,"List all ingredients in recipe W.
",graph
1084,"Show all members of committee X.
",graph
1085,"Find the largest community in the network.
",graph
1086,"Retrieve all projects initiated by team Y.
",graph
1087,"Identify all authors in the field of Z.
",graph
1088,"Discover all historical events linked to location A1.
",graph
1089,"List all podcasts listened by user B1.
",graph
1090,"Get all films inspired by book C1.
",graph
1091,"Identify mutual memberships between groups D1 and E1.
",graph
1092,"Show all buildings designed by architect F1.
",graph
1093,"Retrieve all legislative bills proposed by senator G1.
",graph
1094,"Find all successors of company H1.
",graph
1095,"Discover all promotion paths for role I1.
",graph
1096,"List all artworks displayed in museum J1.
",graph
1097,"Get all companies acquired by corporation K1.
",graph
1098,"Identify all shared resources in the network.
",graph
1099,"Show all ancestors of individual L1.
",graph
1100,"Find all mountains within range of region M1.
",graph
1101,"Retrieve all blog posts tagged with keyword N1.
",graph
1102,"Who influences both user O1 and P1?
",graph
1103,"List all musical albums produced by producer Q1.
",graph
1104,"Show all intersections on the road R1.
",graph
1105,"Identify all mentors for employee S1.
",graph
1106,"Retrieve all charities supported by celebrity T1.
",graph
1107,"Find the major exports of country U1.
",graph
1108,"List all planets associated with star system V1.
",graph
1109,"Show organizations connected to cause W1.
",graph
1110,"Identify all heirlooms passed down in family X1.
",graph
1111,"Retrieve all code repositories forked by developer Y1.
",graph
1112,"Find all transit lines passing through zone Z1.
",graph
1113,"Discover schools attended by leader A2.
",graph
1114,"List all methods employed in research paper B2.
",graph
1115,"Get all trees planted in park C2.
",graph
1116,"Who are the advisors for startup D2?
",graph
1117,"Retrieve all laws impacting industry E2.
",graph
1118,"Identify links between artist F2 and gallery G2.
",graph
1119,"Show all animal species in habitat H2.
",graph
1120,"List all insurance policies underwritten by company I2.
",graph
1121,"Find the primary contact for project J2.
",graph
1122,"Retrieve all sessions in conference K2.
",graph
1123,"Identify all known passwords in breach L2.
",graph
1124,"Show all citizens with dual nationality M2.
",graph
1125,"Discover all tutor-student pairings in school N2.
",graph
1126,"Retrieve all donations made to fund O2.
",graph
1127,"List all courses offering certification P2.
",graph
1128,"Get all workouts recommended for fitness level Q2.
",graph
1129,"Identify all genres associated with publisher R2.
",graph
1130,"Find the main focus areas of institute S2.
",graph
1131,"Show all celebrities with philanthropic activities T2.
",graph
1132,"Retrieve all awards won by athlete U2.
",graph
1133,"List all intersections on route V2.
",graph
1134,"Identify successors to throne W2.
",graph
1135,"Discover all links between disease X2 and treatment Y2.
",graph
1136,"Show all firms in network Z2.
",graph
1137,"Retrieve all online courses available in database A3.
",graph
1138,"Find all bridges over river B3.
",graph
1139,"List all diplomatic missions between countries C3 and D3.
",graph
1140,"Show all joint ventures in industry E3.
",graph
1141,"Identify all foundation members for organization F3.
",graph
1142,"Get all technology updates in sector G3.
",graph
1143,"Discover all emergency contacts in directory H3.
",graph
1144,"Retrieve all game versions released by studio I3.
",graph
1145,"List all flights departing from airport J3.
",graph
1146,"Identify the governance structure of association K3.
",graph
1147,"Show all licensing agreements for brand L3.
",graph
1148,"Find all abandoned facilities in city M3.
",graph
1149,"Retrieve all linguistic translations for dialect N3.
",graph
1150,"List all ecological initiatives by NGO O3.
",graph
1151,"Discover adoption partners for orphanage P3.
",graph
1152,"Show all financial sponsors for festival Q3.
",graph
1153,"Retrieve all curriculum modules for class R3.
",graph
1154,"Identify all operational nodes in the network S3.
",graph
1155,"List known aliases for historic figure T3.
",graph
1156,"Find all rare artifacts in collection U3.
",graph
1157,"Show all crisis response plans by authority V3.
",graph
1158,"Identify co-inventors on patent application W3.
",graph
1159,"Retrieve all contracts awarded to vendor X3.
",graph
1160,"Find all fusion cuisines in cookbook Y3.
",graph
1161,"List all conservation efforts by zoo Z3.
",graph
1162,"Show all similar cases to lawsuit A4.
",graph
1163,"Identify all convoy routes for fleet B4.
",graph
1164,"Retrieve governmental amendments on policy C4.
",graph
1165,"List all core subjects in degree program D4.
",graph
1166,"Find all dynamic groups in organization E4.
",graph
1167,"Show all nuances in legal interpretations of act F4.
",graph
1168,"Identify renewable resources in region G4.
",graph
1169,"List key influencers in marketing campaign H4.
",graph
1170,"Retrieve all loan services by bank I4.
",graph
1171,"Discover all sequel games by developer J4.
",graph
1172,"Find historical funding patterns for agency K4.
",graph
1173,"Show community feedback for service L4.
",graph
1174,"Retrieve unique identifiers in DNA sequence M4.
",graph
1175,"List assembly processes in manufacturing plant N4.
",graph
1176,"Identify unanimous decisions in council O4.
",graph
1177,"Get all cross-cultural exchanges in program P4.
",graph
1178,"Find ethics compliance records for board Q4.
",graph
1179,"Show commonly shared tools in workspace R4.
",graph
1180,"Retrieve all urban development plans for district S4.
",graph
1181,"Find all authors who have written more than three books.
",graph
1182,"List all cities connected by flights within two hops.
",graph
1183,"Retrieve the names of employees who report directly to the CEO.
",graph
1184,"Find all people with a direct connection to the project manager.
",graph
1185,"List all friends of friends who live in New York.
",graph
1186,"Identify all movies directed by someone who has also acted.
",graph
1187,"Find top ten influential nodes in the social network.
",graph
1188,"Retrieve all products purchased by customers aged between 20 and 30.
",graph
1189,"List all managers who have more than three direct reports.
",graph
1190,"Find all participants who attended more than two events.
",graph
1191,"Retrieve all artists who have collaborated with a specific artist.
",graph
1192,"List all countries that share a border.
",graph
1193,"Find all articles cited by a particular research paper.
",graph
1194,"Retrieve the shortest path between two users in a social network.
",graph
1195,"List all authors who have collaborated with a Nobel Laureate.
",graph
1196,"Find all software engineers working in the same project.
",graph
1197,"Retrieve all families with at least two members in the same organization.
",graph
1198,"Find all musicians who have released albums between 1990 and 2000.
",graph
1199,"List all employees in the same location as the headquarters.
",graph
1200,"Find all universities attended by a particular set of students.
",graph
1201,"Retrieve all restaurants located within two blocks of a museum.
",graph
1202,"List all technology partners of the company.
",graph
1203,"Find all relationships of a specific type in the graph.
",graph
1204,"Retrieve all transactions between customers and vendors.
",graph
1205,"List all investors who have invested in more than five startups.
",graph
1206,"Find all courses taken by students who major in computer science.
",graph
1207,"Retrieve all flights with a layover of less than two hours.
",graph
1208,"List all books co-authored by the same set of people.
",graph
1209,"Find all colleagues who have worked more than five years together.
",graph
1210,"Retrieve all nodes connected to a specific central node.
",graph
1211,"List all hackerspaces in cities with a population over a million.
",graph
1212,"Find all conferences attended by a specific academic.
",graph
1213,"Retrieve all competitors of the company in the past five years.
",graph
1214,"List all athletes who have won medals in multiple Olympics.
",graph
1215,"Find all actors who have starred in more than ten films.
",graph
1216,"Retrieve all operating systems compatible with given software.
",graph
1217,"List all firms that have been acquired by the parent company.
",graph
1218,"Find DJs who have played at least one international festival.
",graph
1219,"Retrieve all patents citing a specific inventor.
",graph
1220,"List all transportation routes connecting two specific locations.
",graph
1221,"Find people who have connections in both New York and London.
",graph
1222,"Retrieve all journalists contributing to the same newspaper.
",graph
1223,"List all partnership agreements formed in the past year.
",graph
1224,"Find all books translated into more than five languages.
",graph
1225,"Retrieve all predecessors of a particular node in the hierarchy.
",graph
1226,"List all workshops organized by the educational institution.
",graph
1227,"Find podcasts with guests from multiple countries.
",graph
1228,"Retrieve ecological networks of plant and animal species.
",graph
1229,"List all historical events involving multiple countries.
",graph
1230,"Find all doctors with specialization in cardiology.
",graph
1231,"Retrieve all collaborative projects by two particular universities.
",graph
1232,"List all mutual friends of two specific people.
",graph
1233,"Find all software versions compatible with multiple platforms.
",graph
1234,"Retrieve all matches between specific sports teams.
",graph
1235,"List all tenants in buildings managed by the same company.
",graph
1236,"Find all papers with shared references.
",graph
1237,"Retrieve all technicians certified in a specific technology.
",graph
1238,"List all categories connected to a particular blog post.
",graph
1239,"Find all gym members who train together regularly.
",graph
1240,"Retrieve all meetings involving the company’s executives.
",graph
1241,"List all places within a five-mile radius of a given point.
",graph
1242,"Find all trains operating on the same network.
",graph
1243,"Retrieve all related podcasts by topic.
",graph
1244,"List all parks linked by walking trails.
",graph
1245,"Find all schools with exchange programs.
",graph
1246,"Retrieve all service centers authorized by the manufacturer.
",graph
1247,"List all musicians with more than three Grammy awards.
",graph
1248,"Find all theaters showing the same movie.
",graph
1249,"Retrieve all supply chains involving a particular material.
",graph
1250,"List all employees with two or more skills certifications.
",graph
1251,"Find all departments collaborating on the same project.
",graph
1252,"Retrieve all partners who contributed to a joint venture.
",graph
1253,"List all books in the public domain.
",graph
1254,"Find all NGOs working in environmental conservation.
",graph
1255,"Retrieve all translations of a specific document.
",graph
1256,"List all professional networks connected to a given industry.
",graph
1257,"Find all animals in a multi-species conservation effort.
",graph
1258,"Retrieve all surviving members of historical dynasties.
",graph
1259,"List all software products by a developer group.
",graph
1260,"Find all residential areas connected by public transport.
",graph
1261,"Retrieve all products using renewable materials.
",graph
1262,"List all historical landmarks on a specific map route.
",graph
1263,"Find all species linked through ecological interactions.
",graph
1264,"Retrieve all alumni of a university with distinguished careers.
",graph
1265,"List all projects funded by a particular grant.
",graph
1266,"Find all startups in the technology innovation sector.
",graph
1267,"Retrieve all banks involved in the same syndicate loan.
",graph
1268,"List all dance performances by a specific choreographer.
",graph
1269,"Find all coding languages used in emerging startups.
",graph
1270,"Retrieve all public figures with connections to the UN.
",graph
1271,"List all airlines with a hub in North America.
",graph
1272,"Find all sculptures linked to a famous artist.
",graph
1273,"Retrieve all discovered connections between two phenomena.
",graph
1274,"List all local communities with shared annual events.
",graph
1275,"Find all landmarks in a UNESCO heritage site.
",graph
1276,"Retrieve all publishing houses with award-winning titles.
",graph
1277,"List all government policies involving AI.
",graph
1278,"Find all libraries with special collections on art.
",graph
1279,"Retrieve all food recipes shared in cooking networks.
",graph
1280,"List all tech companies in the same innovation cluster.
",graph
1281,"Find all cycling routes in a specific urban area.
",graph
1282,"Retrieve all news articles linking specific events.
",graph
1283,"List all poets who contributed to a literary magazine.
",graph
1284,"Find all vineyards from the same wine-making region.
",graph
1285,"Retrieve all environmental studies with multi-country data.
",graph
1286,"List all patents related to renewable energy technologies.
",graph
1287,"Find all professional athletes engaged in multiple sports.
",graph
1288,"Retrieve all brands endorsed by a particular celebrity.
",graph
1289,"List all partners in research collaborations.
",graph
1290,"Find all train lines passing through specific stations.
",graph
1291,"Retrieve all fashion designers associated with a trend.
",graph
1292,"What is the shortest path between node A and node B?
",graph
1293,"Find all direct friends of user X.
",graph
1294,"Identify all immediate neighbors of node C.
",graph
1295,"What are the common connections between user Y and user Z?
",graph
1296,"List all nodes connected to node D within two hops.
",graph
1297,"Retrieve all routes from city V to city W with a maximum of three stops.
",graph
1298,"Which employees are directly supervised by manager E?
",graph
1299,"Find all movies directed by director F.
",graph
1300,"Who are the mutual friends of user U and user V?
",graph
1301,"Which authors have collaborated with author G?
",graph
1302,"List all products bought together with product H.
",graph
1303,"Identify nodes with no incoming connections.
",graph
1304,"What are the most influential nodes in the network?
",graph
1305,"Find all flights departing from airport I.
",graph
1306,"Retrieve all books by author J published after 2015.
",graph
1307,"Which organizations have partnerships with company K?
",graph
1308,"Discover all songs by artist L in genre M.
",graph
1309,"Who are the top influencers in category N?
",graph
1310,"Identify all users who liked post O.
",graph
1311,"How many followers does user P have?
",graph
1312,"Find employees who have worked in both department Q and department R.
",graph
1313,"List all skills endorsed by employee S.
",graph
1314,"What projects are team T currently working on?
",graph
1315,"Find all recipes that include ingredient U.
",graph
1316,"Who has co-starred in movies with actor V?
",graph
1317,"Identify the direct reports of employee W.
",graph
1318,"List all publications co-authored by scientist X.
",graph
1319,"Find all groups joined by member Y.
",graph
1320,"Which servers are part of subnet Z?
",graph
1321,"Who has cited paper A' in their work?
",graph
1322,"List all endpoints reachable from node B'.
",graph
1323,"Identify all users with at least three mutual connections with user C'.
",graph
1324,"What are the most liked posts in category D'?
",graph
1325,"Retrieve all ancestors of node E' up to two generations back.
",graph
1326,"Find all subclasses of class F'.
",graph
1327,"Which events are related to event G'?
",graph
1328,"Identify all competitors of company H'.
",graph
1329,"List all followers of influencer I' who have more than 1000 followers themselves.
",graph
1330,"What are the interconnected components in the network?
",graph
1331,"Retrieve all comments under blog post J'.
",graph
1332,"Find all articles referenced in document K'.
",graph
1333,"Who are the direct neighbors of vertex L'?
",graph
1334,"List all product categories a customer M' has purchased from.
",graph
1335,"Identify all projects associated with client N'.
",graph
1336,"What languages are spoken by at least two of employee O's connections?
",graph
1337,"Retrieve all dependencies for software package P'.
",graph
1338,"Find all predecessors of task Q' in the project timeline.
",graph
1339,"Which courses are prerequisites for course R'?
",graph
1340,"List all departments involved in project S'.
",graph
1341,"Who are the primary contacts for node T'?
",graph
1342,"Identify the central hub nodes in the transportation network.
",graph
1343,"What are the top three most followed topics by user U'?
",graph
1344,"Retrieve all nodes reachable from node V' within three degrees of separation.
",graph
1345,"Find all mentors for employee W'.
",graph
1346,"Which artists have collaborated with artist X' on albums?
",graph
1347,"List all components used in assembly Y'.
",graph
1348,"Identify all transactions initiated by account Z'.
",graph
1349,"What software versions depend on library A''?
",graph
1350,"Retrieve all tags associated with image B''.
",graph
1351,"Find all job roles reporting to position C''.
",graph
1352,"Which research papers are cited the most by document D''?
",graph
1353,"List all conferences attended by participant E''.
",graph
1354,"Identify all subordinates of supervisor F'' up to two levels down.
",graph
1355,"What are the key themes in posts by user G''?
",graph
1356,"Retrieve all network devices connected to switch H''.
",graph
1357,"Find all destinations reachable from station I'' within five stops.
",graph
1358,"Which users have bookmarked article J''?
",graph
1359,"List all activities part of the program K''.
",graph
1360,"Identify all network outages reported for system L''.
",graph
1361,"What are the most common paths leading to node M''?
",graph
1362,"Retrieve all endorsements for skill N''.
",graph
1363,"Find all involved parties in contract O''.
",graph
1364,"Which repositories are forked from project P''?
",graph
1365,"List all sessions hosted by speaker Q''.
",graph
1366,"Identify all widgets part of dashboard R''.
",graph
1367,"Who frequently collaborates with developer S''?
",graph
1368,"Retrieve all playlists containing song T''.
",graph
1369,"Find all endpoints affected by firewall rule U''.
",graph
1370,"Which policies are related to rule V''?
",graph
1371,"List all contracts associated with vendor W''.
",graph
1372,"Identify all law amendments relevant to statute X''.
",graph
1373,"What projects has architect Y'' worked on?
",graph
1374,"Retrieve all clients serviced by consultant Z''.
",graph
1375,"Find all direct relatives of individual A'''.
",graph
1376,"Which resources are tagged under project B'''?
",graph
1377,"List all ingredients in menu item C'''.
",graph
1378,"Identify all teams involved in initiative D'''.
",graph
1379,"What are the primary exports of country E'''?
",graph
1380,"Retrieve all child nodes under parent node F'''.
",graph
1381,"Find all musicians in band G'''.
",graph
1382,"Which scripts are dependencies for application H'''?
",graph
1383,"List all faculties offering course I'''.
",graph
1384,"Identify all resellers of product J'''.
",graph
1385,"What documents are part of archive K'''?
",graph
1386,"Retrieve all lessons created by instructor L'''.
",graph
1387,"Find all shared interests between user M''' and user N'''.
",graph
1388,"Which actors are frequently cast by director O'''?
",graph
1389,"List all active tickets assigned to agent P'''.
",graph
1390,"Identify all datasets used in research Q'''.
",graph
1391,"What are the key findings of study R'''?
",graph
1392,"Retrieve all movies starring actor S'''.
",graph
1393,"Find all application components affected by bug T'''.
",graph
1394,"Which travel packages include destination U'''?
",graph
1395,"List all properties managed by realtor V'''.
",graph
1396,"Identify all chapters in book W'''.
",graph
1397,"What hobbies are listed by user X'''?
",graph
1398,"Retrieve all online courses available under category Y'''.
",graph
1399,"Find all public repositories owned by user Z'''.
",graph
1400,"Which licenses are applicable to software A''''?
",graph
1401,"List all active jobs in pipeline B''''.
",graph
1402,"Identify all algorithms implemented by engineer C''''.
",graph
1403,"What transportation links are connected to hub D''''?
",graph
1404,"Retrieve all workshop sessions attended by participant E''''.
",graph
1405,"Find all tutorials written by blogger F''''.
",graph
1406,"Find all direct friends of John.
",graph
1407,"List the movies directed by Christopher Nolan.
",graph
1408,"Show all employees who report directly to Mary.
",graph
1409,"What are the common interests between Alice and Bob?
",graph
1410,"List all countries connected by a trade agreement with Germany.
",graph
1411,"Identify the shortest path between node A and node B.
",graph
1412,"Find all nodes connected to node X within two hops.
",graph
1413,"Who are the mutual friends of Mike and Sarah?
",graph
1414,"Which products are frequently purchased together?
",graph
1415,"List all projects managed by department X.
",graph
1416,"Who has co-authored papers with Dr. Smith?
",graph
1417,"Show the hierarchy of the tech department.
",graph
1418,"Which cities have flight connections with New York?
",graph
1419,"Find all ancestors of node Z.
",graph
1420,"Identify influencers in the social network.
",graph
1421,"What are John's professional connections in London?
",graph
1422,"List all articles linked to the subject Quantum Computing.
",graph
1423,"Find all books written by J.K. Rowling.
",graph
1424,"What are the direct dependencies of package A?
",graph
1425,"Show all roads leading to Los Angeles.
",graph
1426,"What databases are related to Big Data?
",graph
1427,"List all nodes with the label ""Customer"".
",graph
1428,"Who purchased product Y in the last month?
",graph
1429,"Find all issues assigned to user X.
",graph
1430,"List people who have completed Project Alpha.
",graph
1431,"Which students are enrolled in both course A and course B?
",graph
1432,"Identify all paths from source S to destination D.
",graph
1433,"Show all devices connected to the network.
",graph
1434,"List all patents held by company X.
",graph
1435,"Find movies featuring both actor A and actor B.
",graph
1436,"Who are the main contributors to repository Z?
",graph
1437,"Identify all events hosted by organization Y.
",graph
1438,"What are the career paths of alumni from University Z?
",graph
1439,"List all companies within the same industry as company X.
",graph
1440,"Find all nodes that are leaf nodes.
",graph
1441,"Who are node Z's indirect friends?
",graph
1442,"Show all transactions exceeding $10,000.
",graph
1443,"List all posts tagged with ""Machine Learning"".
",graph
1444,"Find all projects with a status of ""Completed"".
",graph
1445,"Show all nodes connected to the ""Internet of Things"" cluster.
",graph
1446,"List all communities John is a part of.
",graph
1447,"Find all products in the electronics category.
",graph
1448,"Which banks operate in country X?
",graph
1449,"Identify all conferences attended by employee Y.
",graph
1450,"What are the upcoming events in location L?
",graph
1451,"List all suppliers of company Z.
",graph
1452,"Show the relationship path between person A and company B.
",graph
1453,"Find all employees with skills in Java.
",graph
1454,"What are the top ten most followed accounts?
",graph
1455,"List all friends of friends of person C.
",graph
1456,"Identify countries bordering country N.
",graph
1457,"Which authors write in the genre Science Fiction?
",graph
1458,"Find all tags associated with the user account K.
",graph
1459,"List all items in the user's shopping cart.
",graph
1460,"Who has made changes to the document ""Project Proposal""?
",graph
1461,"Find all cities within 100 miles of Paris.
",graph
1462,"List all users with administrator privileges.
",graph
1463,"Show all executables in the software release.
",graph
1464,"What regulations affect the telecommunications industry?
",graph
1465,"Find all team members of the marketing department.
",graph
1466,"Which travelers have visited both city A and city B?
",graph
1467,"List all partners of corporation Y in the last five years.
",graph
1468,"Show the full tree of dependencies for task T.
",graph
1469,"Identify all secured connections to server R.
",graph
1470,"Who are the recipients of the 2022 award?
",graph
1471,"Show all neighboring nodes of node P.
",graph
1472,"What are the points of interest in region R?
",graph
1473,"Find all tournaments won by player X.
",graph
1474,"List all related technologies to blockchain.
",graph
1475,"Who are the siblings of character C in the story?
",graph
1476,"Show all data transactions from January 2022.
",graph
1477,"Find all books translated to French.
",graph
1478,"Which cities are connected by high-speed rail?
",graph
1479,"List all presentations given by team B.
",graph
1480,"Identify all retailers for brand M.
",graph
1481,"What are the titles published by the press house H?
",graph
1482,"Find all direct reports of manager N.
",graph
1483,"Show all peers of user profile Z.
",graph
1484,"List all museums located in district D.
",graph
1485,"Identify all renewable energy sources in location L.
",graph
1486,"What are the active volcanoes near country J?
",graph
1487,"Find all open-source projects by developer D.
",graph
1488,"Show the complete lineage of object O.
",graph
1489,"List all Linux distributions in use in the organization.
",graph
1490,"Who are the main organizers of event E?
",graph
1491,"Identify all cybersecurity compromises reported in 2023.
",graph
1492,"Show all branches of the retail chain in city B.
",graph
1493,"Find all election candidates affiliated with party P.
",graph
1494,"List the top influencers on topic T.
",graph
1495,"What are the communication channels used by team X?
",graph
1496,"Identify all historical landmarks in state S.
",graph
1497,"Show the popularity trend of product Z over time.
",graph
1498,"List all favorite genres of the user account Y.
",graph
1499,"Find all connections between investor A and startups.
",graph
1500,"Show the full employment history of John Doe.
",graph
1501,"What foods contain the ingredient X?
",graph
1502,"List all associated accounts with email address E.
",graph
1503,"Identify all endangered species in ecosystem E.
",graph
1504,"Show all possible outcomes for decision node D.
",graph
1505,"Find all graphic designs created by artist A.
",graph
1506,"List all public APIs provided by platform Q.
",graph
1507,"What are the symptoms linked to disease D?
",graph
1508,"Identify all diplomatic missions in country C.
",graph
1509,"Show the influences of musician M in the genre.
",graph
1510,"Find all nodes with no in-degrees.
",graph
1511,"List all recurring events in the community calendar.
",graph
1512,"Show all elements of national culture for country Z.
",graph
1513,"What books are frequently cited by professionals in domain D?
",graph
1514,"Identify sources of articles published by journalist J.
",graph
1515,"List all endangered languages spoken in region R.
",graph
1516,"Show all institutions offering scholarships in field F.
",graph
1517,"What files have been modified in project repository R?
",graph
1518,"Identify the major export commodities of country U.
",graph
1519,"Show the crosslinks between chapter C and others.
",graph
1520,"Find all endangered habitats in the biosphere reserve.
",graph
1521,"List all water bodies located within city limits of X.
",graph
1522,"What are the weather patterns observed in area A over the past decade?
",graph
1523,"Show all travel destinations featured in tour package P.
",graph
1524,"Identify all musical compositions by composer K.
",graph
1525,"List all records of activities for member I.
",graph
1526,"Show all literary works that have won a Pulitzer Prize.
",graph
1527,"Find all case studies related to artificial intelligence.
",graph
1528,"What are the possible risk factors analyzed for project Y?
",graph
1529,"Identify all medications containing the chemical C.
",graph
1530,"Show the collaboration history between companies A and B.
",graph
1531,"List all nodes that result from the transformation rule R.
",graph
1532,"Who are all the direct and indirect connections of node A?
",graph
1533,"What is the shortest path between user X and user Y?
",graph
1534,"Find all the friends of friends for user Z.
",graph
1535,"Which nodes are connected by more than one type of edge to node B?
",graph
1536,"List all the direct reports under manager C in an organizational chart.
",graph
1537,"Find all the common friends between user D and user E.
",graph
1538,"What are the mutual interests of person F and person G?
",graph
1539,"Identify all nodes within three degrees of separation from node H.
",graph
1540,"What are the most influential nodes in this network based on centrality?
",graph
1541,"Which nodes form a cycle with node I?
",graph
1542,"Find all nodes that have no outgoing edges.
",graph
1543,"List all nodes that have a specific property key with value greater than X.
",graph
1544,"Identify isolated subgraphs in the network.
",graph
1545,"Find all sibling nodes of node J in a hierarchy.
",graph
1546,"What are the top three most connected nodes?
",graph
1547,"Find all nodes that are two edges away from node K in the network.
",graph
1548,"Which nodes have the same set of neighbors as node L?
",graph
1549,"List all nodes that have a direct friendship relationship with node M.
",graph
1550,"Which nodes have received the most incoming relationships labeled 'endorses'?
",graph
1551,"Identify the nodes that are frequently co-mentioned with node N.
",graph
1552,"Retrieve all movie titles directed by director P featuring actor Q.
",graph
1553,"Find all products that are often bought together with product R.
",graph
1554,"Identify clusters or communities within the social network.
",graph
1555,"Find all employees who have worked under both manager S and manager T.
",graph
1556,"Retrieve all the projects that employee U has contributed to.
",graph
1557,"What are the top three trending topics in the network based on mentions?
",graph
1558,"Identify all nodes that have a symmetrical relationship with node V.
",graph
1559,"List all the authors who have co-authored papers with author W.
",graph
1560,"Find the longest path between node X and node Y.
",graph
1561,"Retrieve all publications that cite both paper A and paper B.
",graph
1562,"Which users have attended more than three events in the past month?
",graph
1563,"Identify all the nodes connected through a specific sequence of relationships.
",graph
1564,"Find nodes with similar connection patterns to node C.
",graph
1565,"List all transactions involving both customer Y and product Z.
",graph
1566,"Retrieve companies that have partnerships with certain organizations.
",graph
