nl_query,db
"Which products have both high returns and high sales volumes?
",rdbms
"List the number of patents filed by each department.
",rdbms
"What are the busiest times in each service center?
",rdbms
"Identify members with expired membership statuses.
",rdbms
"Find all digital products with over 10,000 downloads.
",rdbms
"Show all active warranties by product type.
",rdbms
"Which regions constantly exceed monthly sales targets?
",rdbms
"List verified users with no profile pictures.
",rdbms
"What is the frequency of system downtimes by server location?
",rdbms
"Identify employees requiring additional certification.
",rdbms
"Find all accounts with the same billing and shipping addresses.
",rdbms
"Show the frequency of marketing emails opened by campaign.
",rdbms
"Which kind of transactions have the highest failure rates?
",rdbms
"List venues that have hosted more than 20 events this year.
",rdbms
"What are the yearly growth rates for each subdivision?
",rdbms
"Identify books borrowed by more than 50 different members.
",rdbms
"Find clients who have requested refund more than twice.
",rdbms
"Show all equipment leased by project duration.
",rdbms
"Which categories of products consistently rank lower in reviews?
",rdbms
"List all technicians working on faulty equipment repairs.
",rdbms
"What is the impact of promotions on sales figures?
",rdbms
"Identify workshops with overwhelming demand.
",rdbms
"Find repeated offenses in employee conduct records.
",rdbms
"Show all renewable energy sources utilized by location.
",rdbms
"Which social media content types have higher engagement rates?
",rdbms
"List members attending multiple workshops this week.
",rdbms
"What is the absenteeism rate in each department?
",rdbms
"Identify underutilized spaces in the facility.
",rdbms
"Find routes with highest travel delays over past month.
",rdbms
"Show academic courses under review or re-approval.
",rdbms
"Which teams have exceeded project timelines?
",rdbms
"List contract workers with more than five project assignments.
",rdbms
"What is the rate of successful cross-selling by representative?
",rdbms
"Identify frequent flyer customers with over 30 flights annually.
",rdbms
"Find all artists with exhibitions in multiple galleries.
",rdbms
"Show balances for all clients with linked family accounts.
",rdbms
"Which conferences have higher vendor participation rates?
",rdbms
"List collaborations between departments on recent initiatives.
",rdbms
"What is the turnover rate for temporary staff?
",rdbms
"Identify households with over two registered beneficiaries.
",rdbms
"Find all musicians who have released more than three albums.
",rdbms
"Show subscription packages with less than a 5% user base.
",rdbms
"Which sporting events had sold-out ticket sales?
",rdbms
"List properties with viewings scheduled for the next week.
",rdbms
"What is the audit frequency for financial records?
",rdbms
"Identify high-impact incidents in the risk management logs.
",rdbms
"Find all dual major students achieving above 3.5 GPA.
",rdbms
"What are the top five selling products in each category?
",rdbms
"Show me the monthly revenue trends for the last two years.
",rdbms
"Retrieve all customers who have made more than three purchases in the last month.
",rdbms
"List employees who have not taken any leave in the past year.
",rdbms
"Find products with inventory counts below ten.
",rdbms
"What are the average sales figures for each region?
",rdbms
"Who are the top ten customers by total expenditure?
",rdbms
"Get the details of orders made in the last 24 hours.
",rdbms
"List suppliers who have not delivered goods in the last six months.
",rdbms
"How many orders were delivered late last quarter?
",rdbms
"Identify duplicate entries in the customer database.
",rdbms
"What is the average processing time for orders this year?
",rdbms
"Which employees have the highest number of training hours logged?
",rdbms
"Find the most popular payment method among customers.
",rdbms
"List all customer feedback received in the last week.
",rdbms
"What are the top five countries by number of customers?
",rdbms
"Which products have never been returned by customers?
",rdbms
"Retrieve complete order details for customer ID 12345.
",rdbms
"List products with a profit margin greater than 20%.
",rdbms
"What are the top three departments by employee headcount?
",rdbms
"Find the average age of employees in the marketing department.
",rdbms
"List all current projects exceeding their budget.
",rdbms
"How many new accounts were created each month this year?
",rdbms
"Retrieve a list of customers along with their last purchase date.
",rdbms
"What are the sales figures broken down by product category?
",rdbms
"Find employees closer to retirement by age.
",rdbms
"Which stores have the highest customer satisfaction ratings?
",rdbms
"List all invoices generated this financial year.
",rdbms
"Identify all active promotions and their end dates.
",rdbms
"Find the most common job title among employees.
",rdbms
"List all products with expired warranties.
",rdbms
"Retrieve the last five transactions for customer ID 98765.
",rdbms
"Which branches have the most outstanding loan amounts?
",rdbms
"List all work shifts that are understaffed.
",rdbms
"What is the total sales amount for orders above $500?
",rdbms
"Find all meetings scheduled for the upcoming week.
",rdbms
"Which regions have the most late deliveries?
",rdbms
"List all products ordered in bulk quantities.
",rdbms
"Identify the longest-tenured employee in each department.
",rdbms
"Show me the customer count by membership tier.
",rdbms
"What is the average order value by customer segment?
",rdbms
"List clients who have not been contacted in the last six months.
",rdbms
"Find all transactions over $1000 in the last year.
",rdbms
"Which items are frequently bought together?
",rdbms
"Retrieve a list of employees with pending appraisals.
",rdbms
"List all vehicles with maintenance due dates in the next month.
",rdbms
"What are the top three cities by sales volume?
",rdbms
"Identify all complaints closed in the last 30 days.
",rdbms
"List products that contribute to 80% of sales revenue.
",rdbms
"Find employees with no emergency contacts listed.
",rdbms
"Which facilities have the highest energy consumption?
",rdbms
"Retrieve the inventory restocking frequency by product type.
",rdbms
"What is the rate of return for each product category?
",rdbms
"List all partners and their contract renewal dates.
",rdbms
"Identify the most-used customer service channel.
",rdbms
"Which assets are fully depreciated?
",rdbms
"Retrieve a list of employees by hire date.
",rdbms
"Find the most common reasons for order cancellations.
",rdbms
"List orders requiring manual verification.
",rdbms
"What is the highest level of education attained by employees?
",rdbms
"Which projects are behind schedule by more than 20%?
",rdbms
"Retrieve all payment transactions processed this quarter.
",rdbms
"Find all customers with multiple shipping addresses.
",rdbms
"What is the average shipping cost per order?
",rdbms
"List suppliers with multiple outstanding invoices.
",rdbms
"Identify courses with the highest enrollment.
",rdbms
"How many hours of overtime have been logged this month?
",rdbms
"Find all performance reviews scheduled for next week.
",rdbms
"Retrieve a list of top-performing sales agents.
",rdbms
"What are the average project completion times by department?
",rdbms
"List all awards received by the company last year.
",rdbms
"Find employees who have completed certification programs.
",rdbms
"Which machines require preventive maintenance soon?
",rdbms
"List contractors who have not fulfilled their contracts.
",rdbms
"Retrieve all travel expenses for executive employees.
",rdbms
"What is the average ticket resolution time this year?
",rdbms
"Find the total number of unique visitors by month.
",rdbms
"List all recurring revenue streams and their frequencies.
",rdbms
"Identify the service packages with the highest demand.
",rdbms
"Which marketing campaigns had the highest ROI?
",rdbms
"Retrieve the list of approved vendors by region.
",rdbms
"Find products with zero sales in the last quarter.
",rdbms
"What are the customer retention rates by year?
",rdbms
"List all outstanding payments over 60 days overdue.
",rdbms
"Identify webpages with high bounce rates.
",rdbms
"Which job positions have the most applicants?
",rdbms
"Retrieve detailed performance metrics for team leaders.
",rdbms
"List production lines that are under capacity.
",rdbms
"What are the customer acquisition costs by channel?
",rdbms
"Find all insurance claims processed this month.
",rdbms
"List all active support tickets by priority level.
",rdbms
"What is the total compensation for each employee, including bonuses?
",rdbms
"Retrieve detailed sales breakdown by hour.
",rdbms
"Find vehicles with insurance expirations in the upcoming quarter.
",rdbms
"List all restaurant reservations for next weekend.
",rdbms
"Identify subscription tiers with the highest churn rates.
",rdbms
"What are the top five most-viewed products, last month?
",rdbms
"Retrieve audit logs for the past 60 days.
",rdbms
"Find patients with follow-up appointments pending.
",rdbms
"List all vacant positions and their job descriptions.
",rdbms
"What is the average call duration for customer service?
",rdbms
"Retrieve gym attendance statistics by hour.
",rdbms
"Find top ten most-searched keywords on the website.
",rdbms
"List all regions with growth exceeding 10% annually.
",rdbms
"Identify underutilized software licenses and their costs.
",rdbms
"Which student courses have the highest dropout rates?
",rdbms
"Retrieve compliance violations logged this year.
",rdbms
"Find the distribution of customer demographics by region.
",rdbms
"List alumni employed in leadership positions.
",rdbms
"What is the sales forecast for the next quarter?
",rdbms
"Retrieve the list of pending purchase requests.
",rdbms
"Identify warehouse locations with excess stock levels.
",rdbms
"Retrieve employee records where the salary is above the 90th percentile.
",rdbms
"List all customers who have made more than three purchases in the last month.
",rdbms
"Find suppliers who have not delivered any products in the past year.
",rdbms
"Get a count of employees grouped by department sorted in descending order.
",rdbms
"Retrieve orders that have been shipped but not yet delivered.
",rdbms
"List products with sales less than the average product sale.
",rdbms
"Identify customers who have purchased all products in a specific category.
",rdbms
"Find out which products received the highest ratings across all reviews.
",rdbms
"Determine the top 10% of sales representatives by total sales volume.
",rdbms
"Show a detailed report of orders including customer and product details.
",rdbms
"List the top five students with the highest GPA in each class.
",rdbms
"Find departments where the average employee tenure is more than five years.
",rdbms
"Generate a report of expenses categorized by type and month for the current year.
",rdbms
"Identify transactions involving more than one payment method.
",rdbms
"Retrieve a list of authors who have collaborated on at least three publications.
",rdbms
"Find customers who have not made any purchases this fiscal year.
",rdbms
"Retrieve books that have been borrowed more than ten times in the library.
",rdbms
"List products that do not belong to any category.
",rdbms
"Find customers whose last purchase was a year ago or more.
",rdbms
"Show all transactions overshadowing $5000 over the last quarter.
",rdbms
"Identify stores with sales growth exceeding 20% annually.
",rdbms
"List employees who report directly to a particular manager.
",rdbms
"Retrieve annual revenue segmented by country.
",rdbms
"Find employees with more than 15 years of service who have not been promoted.
",rdbms
"List projects completed within budget but past the deadline.
",rdbms
"Show which departments have vacancies exceeding 5% of total positions.
",rdbms
"Retrieve a list of all active memberships in the gym.
",rdbms
"Identify products with no stock in the warehouse.
",rdbms
"Find customers who have made repeat purchases within the same month.
",rdbms
"List all flights with zero passengers over the last week.
",rdbms
"Retrieve invoices exceeding $1000 while showing respective client details.
",rdbms
"Identify regions with more than a 10% increase in population.
",rdbms
"Show students enrolled in courses without a final exam.
",rdbms
"Retrieve accounts that have shown no activity for over two years.
",rdbms
"Find companies with more than five subsidiaries in different sectors.
",rdbms
"List all vehicles registered in multiple locations.
",rdbms
"Identify events with more attendees than the previous event.
",rdbms
"Retrieve all products with missing supplier information.
",rdbms
"Find hospitals with vacancy rates below 5%.
",rdbms
"List rental properties with a 100% occupancy for six months.
",rdbms
"Identify devices with more than three support tickets in one year.
",rdbms
"Retrieve the latest updates on projects nearing completion.
",rdbms
"Find partners with more than 20% of shared operations.
",rdbms
"List channels with the highest engagement rates.
",rdbms
"Identify team leads who have led more than two projects this year.
",rdbms
"Retrieve service orders completed within 24 hours.
",rdbms
"Find items in the inventory without barcodes.
",rdbms
"List partners who have not renewed their contracts this year.
",rdbms
"Identify sectors with a downturn compared to last year.
",rdbms
"Retrieve artwork exhibited in more than one gallery.
",rdbms
"Find programs with an annual increase in applications.
",rdbms
"List the latest transactions per customer.
",rdbms
"Identify users with incomplete profile information.
",rdbms
"Retrieve properties sold above the average listing price.
",rdbms
"Find agencies with full-time staff working remotely.
",rdbms
"List audits with unresolved discrepancies.
",rdbms
"Identify accounts with irregular transaction patterns.
",rdbms
"Retrieve machinery maintained more than annually.
",rdbms
"Find exhibitions with more than 20% international participants.
",rdbms
"List contracts without termination clauses.
",rdbms
"Identify donors contributing each year for over five years.
",rdbms
"Retrieve insurance claims resolved without litigation.
",rdbms
"Find products packaged in recycled material.
",rdbms
"List journals publishing more than six editions yearly.
",rdbms
"Identify sectors contributing over 30% to national GDP.
",rdbms
"Retrieve employees with outstanding performance reviews.
",rdbms
"Find urban areas with rapid transportation growth.
",rdbms
"List open positions filled internally.
",rdbms
"Identify funds with annual instead of monthly reports.
",rdbms
"Retrieve investments outperforming the market average.
",rdbms
"Find books translated into five or more languages.
",rdbms
"List athletes with multi-year endorsements.
",rdbms
"Identify partnerships spanning more than a decade.
",rdbms
"Retrieve equipment with frequent maintenance logs.
",rdbms
"Find cities with more libraries than its counterparts.
",rdbms
"List patents filed in multiple countries.
",rdbms
"Identify fabrics with sustainability certifications.
",rdbms
"Retrieve plans offering better rates than their predecessors.
",rdbms
"Find surveys with comprehensive longitudinal data.
",rdbms
"List satellites with overlapping orbits.
",rdbms
"Identify bands with members from different continents.
",rdbms
"Retrieve volunteer programs with more than five years of operation.
",rdbms
"Find exhibits with multimedia presentations.
",rdbms
"List applications with an over 100% increase in users monthly.
",rdbms
"Identify courses with multi-disciplinary curricula.
",rdbms
"Retrieve meals with locally sourced ingredients.
",rdbms
"Find devices compatible with multiple platforms.
",rdbms
"List scholarships catering to international students.
",rdbms
"Identify screenings with interactive sessions.
",rdbms
"Retrieve solutions with predictive analysis capabilities.
",rdbms
"Find awards recognizing notable professionals.
",rdbms
"List training programs with a significant increase in enrollments.
",rdbms
"Identify parks with certified biodiversity rankings.
",rdbms
"Retrieve highways with high traffic congestion indices.
",rdbms
"Find brands with more than a 50% online sales share.
",rdbms
"List funds with risk categories broader than most.
",rdbms
"Identify platforms supporting cross-cultural exchanges.
",rdbms
"Retrieve energy grids with renewable sources higher than fossil.
",rdbms
"Find seminars with follow-up certifications offered.
",rdbms
"List subscription services with annual savings plans.
",rdbms
"Identify travel itineraries catering to eco-friendly options.
",rdbms
"Retrieve technologies with open-source alternatives.
",rdbms
"Find fairs with a significant number of international exhibitors.
",rdbms
"List press releases detailing multi-phase initiatives.
",rdbms
"Identify campaigns with a proven impact assessment.
",rdbms
"Retrieve theaters equipped with immersive sound systems.
",rdbms
"Find plantations with organic certifications.
",rdbms
"List workshops offering skill enhancement certificates.
",rdbms
"Identify diagnostics centers with telemedicine services.
",rdbms
"Retrieve charity events with transparent fund usage.
",rdbms
"Find films shown at more than ten global film festivals.
",rdbms
"List markets that run all year round.
",rdbms
"Identify databases supporting dynamic data visualization.
",rdbms
"Retrieve courses with over 50% online attendance.
",rdbms
"Find catalogs distributed in five or more languages.
",rdbms
"List competitions with recurring sponsorships.
",rdbms
"Identify helplines active 24/7 with multi-lingual support.
",rdbms
"Retrieve forums with discussion topics archiving older posts.
",rdbms
"Find directories with entries verified annually.
",rdbms
"List conventions hosting more than five keynote speakers.
",rdbms
"Identify beaches with blue flag certifications.
",rdbms
"Retrieve articles with peer reviews from multiple experts.
",rdbms
"Find all languages supported across company platforms.
",rdbms
"List military bases with joint international operations.
",rdbms
"What is the total sales revenue for each product category this quarter?
",rdbms
"How many active users were there on our platform last month?
",rdbms
"Retrieve the list of customers who have made more than three purchases this year.
",rdbms
"Find the top 10 best-selling products in the last 30 days.
",rdbms
"Calculate the average order value for each customer segment.
",rdbms
"Generate a list of employees along with their department and job title.
",rdbms
"What is the total number of refunds processed last week?
",rdbms
"Find employees who joined the company before 2010 but have not received a promotion.
",rdbms
"List all suppliers located in Germany along with their contact information.
",rdbms
"Determine the number of orders exceeding $500 for each sales region.
",rdbms
"Find students who are enrolled in both Math and Science courses.
",rdbms
"Identify the top three customers by lifetime value.
",rdbms
"What is the monthly growth rate of active subscriptions this year?
",rdbms
"Calculate the total profit for each product in the electronics category.
",rdbms
"Find all orders shipped to California that were placed by VIP customers.
",rdbms
"List customers who have not made any purchases in the last six months.
",rdbms
"Determine the average salary for each department in the company.
",rdbms
"Find the projects that are overdue along with their project managers.
",rdbms
"List all books borrowed by students in the History department.
",rdbms
"Calculate the churn rate for the past two quarters.
",rdbms
"Identify the five most common reasons for customer service calls.
",rdbms
"What is the average number of items per order for online sales?
",rdbms
"Find professors who are teaching more than three courses this semester.
",rdbms
"List all the branches with a year-over-year increase in revenue.
",rdbms
"Calculate the total number of units sold for each supplier.
",rdbms
"Find the demographic profile of users who purchased the new product line.
",rdbms
"What products have seen a decline in sales for three consecutive months?
",rdbms
"Generate a list of users with expired subscriptions.
",rdbms
"Identify the regions with the highest increase in new customer acquisitions.
",rdbms
"Find employees who have both a performance score above 90 and attendance below 95%.
",rdbms
"Calculate the difference in revenue between this quarter and the previous one.
",rdbms
"List customers with multiple addresses on file.
",rdbms
"Identify products that were out of stock more than twice this quarter.
",rdbms
"Find all active projects along with their start and end dates.
",rdbms
"Calculate the percentage of products returned for each category.
",rdbms
"What is the employee turnover rate for the past year?
",rdbms
"Find customers who have placed orders in both online and offline channels.
",rdbms
"List the top five departments with the highest budget overruns.
",rdbms
"Calculate the average delivery time for each shipping method.
",rdbms
"Identify the shifts with the highest number of incidents reported.
",rdbms
"Find sales that involved both discounts and promotional items.
",rdbms
"List manager-employee relationships for each department.
",rdbms
"Identify the cities with the highest number of retail stores.
",rdbms
"Calculate the average product rating for each brand.
",rdbms
"Find items that were restocked more than three times this month.
",rdbms
"What is the quarterly revenue breakdown by payment method?
",rdbms
"List all events with a participant count over 100.
",rdbms
"Identify duplicate records in the customer database.
",rdbms
"Calculate the year-over-year growth for each store location.
",rdbms
"Find authors who have published in more than two genres.
",rdbms
"What are the common skills among employees in the IT department?
",rdbms
"List suppliers who have been inactive for over six months.
",rdbms
"Identify courses with the highest student dropout rates.
",rdbms
"Calculate the average customer lifetime span.
",rdbms
"Find orders with discrepancies between billed and shipped quantities.
",rdbms
"List departments with more than 50 open positions.
",rdbms
"Identify all unpaid invoices older than 90 days.
",rdbms
"Calculate the utilization rate of conference rooms.
",rdbms
"What is the customer satisfaction rate by product category?
",rdbms
"Find employees with both sales and customer service experience.
",rdbms
"List research papers with citations over 1000.
",rdbms
"Identify regions where promotional campaigns had the lowest impact.
",rdbms
"Calculate the ratio of male to female employees by department.
",rdbms
"Find users who have interacted with both email and SMS campaigns.
",rdbms
"List software versions used across different departments.
",rdbms
"Identify the busiest day of the week for customer support.
",rdbms
"Calculate the average tenure of employees in managerial positions.
",rdbms
"Find items frequently bought together with bestseller products.
",rdbms
"What is the fraud rate by payment method?
",rdbms
"List product bundles purchased more than 100 times.
",rdbms
"Identify inactive clients who were previously high-volume purchasers.
",rdbms
"Calculate the energy consumption by department.
",rdbms
"Find service contracts due for renewal within the next month.
",rdbms
"List all employees who participated in the leadership training program.
",rdbms
"Identify departments with declining employee satisfaction scores.
",rdbms
"Calculate the coverage ratio of insurance policies.
",rdbms
"List transactions flagged by the fraud detection system.
",rdbms
"Identify training programs with the highest completion rates.
",rdbms
"Calculate the average spend per visit at physical stores.
",rdbms
"Find supply chain partners with ISO certifications.
",rdbms
"What is the attrition rate for top performers?
",rdbms
"List equipment maintenance logs completed last quarter.
",rdbms
"Identify the ten oldest customer accounts by creation date.
",rdbms
"Calculate the net promoter score by customer segment.
",rdbms
"Find products recommended by both new and existing customers.
",rdbms
"List all active contracts with multinational companies.
",rdbms
"Identify top five reasons for employee absenteeism.
",rdbms
"Calculate the occupancy rate for office spaces.
",rdbms
"Find all collaborators on patents filed in the last two years.
",rdbms
"List all departments engaged in cross-departmental projects.
",rdbms
"Identify the training modules used across different regions.
",rdbms
"Calculate the approval rate of loan applications by branch.
",rdbms
"Find partnerships that lasted over five years.
",rdbms
"List all donations received with attached donor conditions.
",rdbms
"Identify the correlation between sales and marketing expenses.
",rdbms
"Calculate the return on investment for each marketing campaign.
",rdbms
"Find legacy systems still in use across departments.
",rdbms
"What is the end-to-end processing time for customer orders?
",rdbms
"List facilities with utilization rates below 50%.
",rdbms
"Identify age groups with the highest penetration of new product features.
",rdbms
"Calculate the impact of customer loyalty programs on purchase frequency.
",rdbms
"Find drivers with both clean records and over 5 years of experience.
",rdbms
"List all courses offered by more than two departments.
",rdbms
"Identify collaborative projects between engineering and product development teams.
",rdbms
"Calculate the customer acquisition cost by channel.
",rdbms
"Find patents NOT contributing to any current project or product line.
",rdbms
"List all branches with revenue growth exceeding 10% year over year.
",rdbms
"What are the total sales for each product category last month?
",rdbms
"List the employees and their respective departments, ordered by department name.
",rdbms
"How many customers have made a purchase in the last six months?
",rdbms
"Show the average salary of employees grouped by job title.
",rdbms
"Retrieve all orders placed by customers from New York.
",rdbms
"What is the total revenue generated by each sales representative?
",rdbms
"Which suppliers delivered more than 100 units last quarter?
",rdbms
"Find all students enrolled in both Math and Science courses.
",rdbms
"What is the highest-rated product in each category?
",rdbms
"List books published by each author, ordered by publication date.
",rdbms
"How many projects are currently in the planning phase by department?
",rdbms
"Show the number of products in stock for each warehouse.
",rdbms
"Who are the top three customers in terms of total amount spent?
",rdbms
"Retrieve all transactions for the last financial year grouped by month.
",rdbms
"How many tickets have been closed by each support agent this year?
",rdbms
"What are the pending tasks for each project manager?
",rdbms
"List all employees hired in the last year with their joining date.
",rdbms
"How many times has each supplier delivered products in the last year?
",rdbms
"Show all products with a discount greater than 20%.
",rdbms
"What are the average grades of students for each subject?
",rdbms
"Display the number of invoices sent to each customer last month.
",rdbms
"Which gym branch has the most active members?
",rdbms
"Find all doctors who have appointments this week.
",rdbms
"List all cars rented out more than 50 times.
",rdbms
"What are the popular menu items based on sales in each restaurant?
",rdbms
"Show the membership statistics for each community center.
",rdbms
"How many pages are there in total in the library's book collection?
",rdbms
"What is the number of downloads for each application in the app store?
",rdbms
"Who borrowed books from the library last month and how many?
",rdbms
"List the number of products returned to each store in the last quarter.
",rdbms
"Find the cities with more than 100 active users.
",rdbms
"How many employees work for each subsidiary company?
",rdbms
"What is the attendance record for each student over the past semester?
",rdbms
"List clients with active contracts longer than two years.
",rdbms
"How many incidents have been reported in each city this year?
",rdbms
"Show the total costs incurred for each event organized.
",rdbms
"Who are the patients with more than three scheduled visits this month?
",rdbms
"List the top reviewers by the number of reviews given on the website.
",rdbms
"What is the profit margin for each product sold in 2022?
",rdbms
"How many different countries have customers with open orders?
",rdbms
"Retrieve the list of projects started and completed this year.
",rdbms
"What is the average session duration for each website page?
",rdbms
"List artists with more than ten artworks in the gallery.
",rdbms
"How many chapters are available for each online course?
",rdbms
"What is the ratio of male to female members in each club?
",rdbms
"Show the number of sessions booked with each personal trainer.
",rdbms
"List the number of guests who have visited each hotel chain.
",rdbms
"Find all actors with roles in at least three different movies in the database.
",rdbms
"How many different instruments are available in each music school?
",rdbms
"Show the number of textbooks issued by each school department.
",rdbms
"List all flights with more than 10 available seats.
",rdbms
"Who are the donors who contributed to more than two different causes?
",rdbms
"What are the most downloaded documents from the online library?
",rdbms
"How many attendees were there by session for each conference?
",rdbms
"What is the total area covered by all warehouses owned by the company?
",rdbms
"List all companies with which more than 50 emails were exchanged last month.
",rdbms
"Show the number of exhibits held by each museum this year.
",rdbms
"How many blogs have more than 500 views in the past week?
",rdbms
"List all courses with exams scheduled in the next month.
",rdbms
"What are the most common career paths for graduates from each major?
",rdbms
"How many cards have been issued to library members this year?
",rdbms
"Show the number of room reservations made for each hotel by month.
",rdbms
"Retrieve the average time to resolve customer queries in each department.
",rdbms
"Which books have been borrowed more than 50 times this year?
",rdbms
"List the purchase history of each customer over the past year.
",rdbms
"Find all suppliers with contracts expiring in the next six months.
",rdbms
"Show the total revenue for each service type rendered.
",rdbms
"What is the inventory value for each product category?
",rdbms
"How many patients have been seen by each clinic this week?
",rdbms
"What is the success rate of each marketing campaign run this year?
",rdbms
"List active courses by enrollment numbers for each department.
",rdbms
"How many products need restocking according to current inventory thresholds?
",rdbms
"Show the number of complaints registered against each company branch.
",rdbms
"How many unique authors are included in the bookstore catalog?
",rdbms
"List the number of maintenance requests handled by each technicians.
",rdbms
"Retrieve the total amount of donations received per fundraiser.
",rdbms
"Display the completion rate for enrolled courses sorted by student.
",rdbms
"What is the active subscription count for each magazine?
",rdbms
"List all employees eligible for retirement within the next year.
",rdbms
"What are the most popular features used in the software service?
",rdbms
"Show the total operational costs by department for the previous quarter.
",rdbms
"How many new memberships were registered at each gym location?
",rdbms
"Find all sales transactions exceeding $1,000 in the past week.
",rdbms
"What are the active policies sold to each insurance client?
",rdbms
"Retrieve payment histories per client over the last two years.
",rdbms
"How many product variations are there for each brand in the inventory?
",rdbms
"List all travel itineraries booked for the next six months.
",rdbms
"Show the average waiting time for assistance calls by service type.
",rdbms
"How many drivers have accumulated more than 10,000 miles on rental cars?
",rdbms
"What is the number of collaborations between different research teams?
",rdbms
"How many alumni have been placed in companies from each graduating year?
",rdbms
"List the number of accolades won by each sports team.
",rdbms
"Retrieve the equipment usage statistics for each fitness machine.
",rdbms
"What is the student-to-teacher ratio in each school?
",rdbms
"How many properties have been sold through each real estate agent?
",rdbms
"List the number of employees working remotely by department.
",rdbms
"What are the total sales figures for each sales region last year?
",rdbms
"Show all fellowship applicants and their selection status.
",rdbms
"Which restaurants have received five-star reviews from more than 100 guests?
",rdbms
"List hiking trails with visitor counts exceeding 1,000 in the past month.
",rdbms
"Show the average delivery time for products across all courier partners.
",rdbms
"What are the most requested features for upcoming software updates?
",rdbms
"Retrieve the list of facilities open for more than 12 hours a day.
",rdbms
"How many doctors have performed surgeries at each hospital this year?
",rdbms
"List all projects with budgets exceeding $1,000,000.
",rdbms
"What are the retention rates for each client account?
",rdbms
"How many classes have fewer than five students in attendance?
",rdbms
"Show the frequency of service requests by equipment type.
",rdbms
"How many awards has each film in the studio's catalog received?
",rdbms
"Retrieve the distribution list for each company's newsletter.
",rdbms
"What is the employee turnover rate by department over the last five years?
",rdbms
"List the number of overdue tasks for each project milestone.
",rdbms
"How many active patents are registered under each company?
",rdbms
"Show the cumulative work hours for employees working over 40 hours a week.
",rdbms
"What are the unique qualifications among certified professionals?
",rdbms
"List all critics contributing more than five reviews in the last six months.
",rdbms
"Which vendors have been used for supplies more than five times this year?
",rdbms
"What is the effective bandwidth usage across company networks?
",rdbms
"Retrieve attendance records for each online webinar held.
",rdbms
"How many new product features have been launched by the R&D team?
",rdbms
"List the frequency of service requests categorized by severity.
",rdbms
"Show all employees with bonuses exceeding 10% of their annual salary.
",rdbms
"Which regions report higher sales conversion from leads?
",rdbms
"Retrieve the escalation count of issues by support tier level.
",rdbms
"List all employees who were hired before 2005.
",rdbms
"Count the number of orders placed by each customer.
",rdbms
"Display all students who have scored above 85% in Mathematics.
",rdbms
"Find the average salary of employees in each department.
",rdbms
"Retrieve all products that have inventory levels below the reorder threshold.
",rdbms
"Show all flight bookings made within the last 6 months.
",rdbms
"List the top 10 customers by order volume.
",rdbms
"Find the course names and the number of students enrolled in each.
",rdbms
"Display the total sales amount for each product category.
",rdbms
"Retrieve customers who haven't placed an order in the last year.
",rdbms
"Show employees who have not received a promotion in the last 5 years.
",rdbms
"Find the most recent orders placed by international customers.
",rdbms
"Calculate the total revenue from sales in the last fiscal quarter.
",rdbms
"List all employees sorted by their hire date.
",rdbms
"Retrieve all transactions that occurred on a holiday.
",rdbms
"Find the highest-priced product in each category.
",rdbms
"List all active projects and their completion percentages.
",rdbms
"Display customer names and the total amount spent by each in descending order.
",rdbms
"Find all books authored by 'Jane Doe' and published after 2010.
",rdbms
"Show all vendors with whom we have active contracts.
",rdbms
"Retrieve the names and contact details of all employees who are managers.
",rdbms
"List all departments with the number of employees in each.
",rdbms
"Find all classes scheduled for Monday and Wednesday this semester.
",rdbms
"Display students who have not paid their tuition fees.
",rdbms
"Retrieve the average score in each subject across all students.
",rdbms
"List all branches and their corresponding regional managers.
",rdbms
"Find customers with more than three transactions in a single month.
",rdbms
"Show the last login date of users who have not logged in this month.
",rdbms
"Retrieve the list of suppliers and the number of products supplied by each.
",rdbms
"Display all meetings scheduled for next week with their locations.
",rdbms
"Find all patients who have had more than two appointments this year.
",rdbms
"List the top 5 highest grossing movies in the current year.
",rdbms
"Retrieve users who have rated more than 50 items in the system.
",rdbms
"Show employees who will retire in the next 5 years.
",rdbms
"Find all products that have never been sold.
",rdbms
"Display customer feedback submitted within the last week.
",rdbms
"List all invoices with a due date within the next 30 days.
",rdbms
"Retrieve all land parcels with incomplete development status.
",rdbms
"Show all students enrolled in both Math and Science courses.
",rdbms
"Find projects with a start date in the next quarter.
",rdbms
"Retrieve the list of cities with the highest number of sales.
",rdbms
"Display all managers who supervise more than ten employees.
",rdbms
"Find the number of units sold of each product this year.
",rdbms
"List all maintenance requests pending for more than one month.
",rdbms
"Retrieve all active members with expired memberships.
",rdbms
"Show scheduled events for the next three months.
",rdbms
"Find employee pairs that share the same job title but work in different offices.
",rdbms
"Display a list of all vendors who supply both electronics and furniture.
",rdbms
"Retrieve all concerts at venues with a capacity over 5000 seats.
",rdbms
"List all active promotions and their expiration dates.
",rdbms
"Find all library books that have never been checked out.
",rdbms
"Show all bank accounts with a negative balance.
",rdbms
"Retrieve current and past memberships of all club members.
",rdbms
"List all registered vehicles older than 15 years.
",rdbms
"Find properties with a valuation above the median price in their area.
",rdbms
"Display the transaction history of all corporate accounts for last year.
",rdbms
"Show all software licenses that will expire within the next 60 days.
",rdbms
"Retrieve a list of all customers with multiple accounts.
",rdbms
"List all restaurants in the database and their average customer rating.
",rdbms
"Find the total hours worked by each employee this month.
",rdbms
"Show products purchased by employees in the last 6 months.
",rdbms
